title,area_value,total_price,unit_price
龙潭西里,46.98,498,106003
东四块玉北街,46.96,425,90503
胡家园小区,64.01,600,93736
煤渣胡同,52.7,590,111955
中绦胡同甲2号院,59.15,780,131869
西营房,57.26,570,99546
长青园,57.99,455,78462
东直门内大街,91.53,960,104884
仓南胡同,71.39,888,124388
恒基中心,168.41,1150,68286
雅宝公寓,139.62,1580,113165
法华南里,81.68,799,97821
新景家园东区,59.19,665,112351
民旺园,55.33,679,122719
胡家园小区,83.36,920,110365
安外东河沿,64.64,830,128404
安贞苑50号院,88.95,1050,118044
兴隆都市馨园,52.76,525,99508
安外东河沿,67.03,798,119052
崇文门西大街,65.29,695,106449
安外东河沿,96.62,1199,124095
城市亮点,84,805,95834
西堂子胡同,54.39,616,113257
和平里五区,55.12,699,126815
富莱茵花园,148.63,930,62572
和平里六区,142.7,1730,121234
和平里六区,142.7,1700,119132
禾风仕家,75.47,1190,157679
中海紫御公馆,92.25,1298,140705
花市枣苑三期,113.23,1260,111278
小黄庄二区,108.65,1198,110263
柏林寺西,60.68,755,124424
北总布胡同,86.31,930,107752
华龙美晟,90.52,775,85617
香饵胡同,81.45,1120,137508
永定门东街西里,53.26,420,78859
雍和家园一期,179.48,2200,122577
和平里七区,57.08,681,119307
化工大院,68.26,799,117053
广渠家园,51.12,499,97614
东晓市街,48.81,413,84614
东花市北里东区,75.12,855,113818
民旺园,63.84,845,132363
西水井胡同,74.31,755,101602
城市亮点,100.03,835,83475
革新南路2号院,73.12,520,71116
东直门内大街,63.66,728,114358
芳嘉园胡同,69.51,775,111495
湖景苑,146.65,1920,130924
安德里北街25号院,87.98,850,96613
京城仁合,124.27,1195,96162
禾风相府,163.81,2550,155669
宝润苑,266.93,2130,79797
花市枣苑三期,138.55,1730,124865
东革新里40号院,40.96,365,89112
琉璃井东街,50.71,475,93670
建国门内大街,95.55,1080,113030
水上华城,79.56,915,115008
后永康胡同2号院4号院,51.11,567,110938
京城仁合,87.28,930,106554
东直门南大街,65.33,685,104853
前门东大街,60.27,570,94575
东方银座,77.74,610,78467
和平里三区,58.18,788,135442
小黄庄二区,58.53,615,105075
望陶园小区,89.66,648,72274
安化北里,57.69,558,96724
阳光都市,106.44,1100,103345
新景家园西区,75.82,870,114746
悠胜美苑,70.17,525,74819
东花市北里中区,47.72,458,95977
赵堂子胡同,73.72,727,98617
西总布胡同55号院,69.94,810,115814
龙潭北里,108.5,866,79816
安外东河沿,65.16,825,126612
中海紫御公馆,60.72,715,117754
永定门东街西里,53.26,468,87871
天坛东里中区,49.03,455,92801
东厂北巷,76.97,899,116799
民安小区东扬威街,77.17,839,108722
甘水桥,74.62,730,97830
安乐林二条,57.84,416,71923
领行国际,104.99,839,79913
胡家园小区,70.99,668,94098
永定门东街西里,50.77,436,85878
国瑞城中区,52.13,530,101669
华龙美晟,81.71,735,89953
景泰西里西区,78.79,625,79325
定安里,68.43,478,69853
安化北里,51.69,527,101954
安化北里,55.63,519,93295
保利蔷薇,92.89,1100,118420
华龙美晟,95.88,835,87089
仓南胡同,68.63,890,129681
地坛北里,52.81,678,128385
左安漪园,85.99,809,94081
东四块玉南街,69.24,564,81456
天天家园,105.95,822,77584
崇文门东大街,55.65,578,103864
郭庄北里,68.75,599,87128
城市亮点,84.57,788,93178
左安浦园,85.18,698,81945
胡家园小区,70.94,698,98394
小黄庄一区,68.39,698,102062
兴化西里,57.54,599,104102
新景家园东区,58.87,689,117038
东总布胡同19号院,59.07,560,94803
和平里九区,50.09,550,109803
沙子口路61号,58.36,375,64257
景泰西里西区,87.61,738,84237
华龙美晟,83.93,735,87573
东花市北里中区,47.29,440,93043
革新南路2号院,80.95,530,65473
和平里七区,94.38,939,99492
建国门北大街,75.1,799,106392
前门东大街,62.91,595,94580
交林,59.76,690,115462
广渠家园,63.75,669,104942
天天家园,129.15,820,63493
新景家园东区,101.59,1230,121075
民旺园,61.61,758,123032
化工大院,96.26,1158,120300
北官厅胡同,59.18,626,105779
华府景园,98.91,1068,107977
华龙美晟,76.56,588,76803
安外西河沿,54.17,605,111686
建予园,88.77,619,69731
前门东大街,50.08,470,93850
革新里小区,57.4,390,67945
龙潭北里,62.06,660,106349
东厂北巷3号院,38.6,484,125389
兴隆都市馨园,53.15,525,98778
忠实里,80.01,730,91239
安贞苑50号院,65.65,806,122773
六铺炕,33.5,530,158209
小羊宜宾胡同,40.11,450,112192
骑河楼大街,41.85,520,124254
北官厅胡同,59.92,672,112150
安外西河沿路1号院,105.21,1396,132688
天坛东里南区,47.17,460,97520
安外大街3号院,55.2,590,106885
沙子口路61号,61.29,409,66732
安外大街3号院,40.39,478,118347
新景家园东区,78.65,810,102988
中海紫御公馆,90.5,1080,119338
赵堂子胡同,38.19,439,114952
左安浦园,59.71,468,78379
新景家园西区,56.74,659,116144
光明楼,42.1,470,111639
朝阳门南小街,55.1,689,125046
