title,area_value,total_price,unit_price
水郡长安,150.12,758,50493
柳芳南里,88.77,760,85615
朝阳旺角,137.37,630,45862
银枫家园,120.43,600,49822
海棠公社,147.18,670,45523
富力又一城A区,141.99,649,45708
电建北院,70.96,345,48619
八里庄北里1号院,61.59,356,57802
东恒时代三期,123.4,750,60778
远洋一方林语苑,66.66,315,47255
八里庄北里小区,66.73,366,54848
汇景苑三区,86.87,425,48924
首开畅心园,70.27,300,42693
黄金苑,122.69,560,45644
安贞里,68.34,588,86041
晨光家园A区,82.58,495,59942
安贞西里,57.15,518,90639
小关东里10号院,55.53,480,86440
丽水嘉园,95.36,939,98469
保利嘉园三号院,89.3,459,51400
十里堡北里,61.87,328,53015
华威西里,44.3,240,54177
东大桥东里,83.77,650,77594
和平街十区,66.4,540,81326
慧谷时空,110.67,730,65962
新源西里中街,53.85,380,70567
安慧北里秀园,63.03,470,74568
慧忠里B区,57.74,585,101317
翠成馨园D区,55.9,238,42577
北京新天地二期,101.64,539,53031
富力又一城A区,169.59,799,47114
万象新天天际高尔夫,139.17,868,62370
英特公寓,227.33,1300,57186
望馨花园,114.61,930,81145
劲松四区,81.18,445,54817
弘善家园,89.08,435,48833
银谷美泉家园,152.4,1240,81365
华威北里,81.28,422,51920
银枫家园,215.29,899,41758
锦绣馨园,119.6,820,68562
美丽亚洲假日花园,146.73,645,43959
潘家园东里,90.06,509,56518
力鸿花园,132.73,1035,77978
垂杨柳北里,61.32,359,58546
金隅景和园,90.05,529,58746
安贞西里,61.52,469,76236
世纪东方城,137.14,878,64023
壹线国际,119.32,680,56990
农光里,123.95,830,66963
华龙美树,120.75,678,56150
华腾园,104.93,719,68522
万科青青家园,135.22,550,40675
博雅园,229.69,1800,78367
小黄庄前街3号院,52.82,375,70996
甘露园南里,60.53,325,53693
壹线国际,113.36,568,50106
南十里居,56.88,280,49227
晨光家园A区,103.7,620,59788
万科金阳,49.07,495,100877
劲松三区,59.67,355,59494
光辉南里,70.41,416,59083
卡布其诺,94.53,725,76696
亮马水晶,91.58,618,67482
朝阳园,112.88,745,66000
方丹苑,90.55,660,72888
金隅汇星苑,82.77,459,55455
小关北里,74.52,618,82931
垡头西里二区,58.53,252,43055
望京西园一区,92.51,568,61399
劲松三区,53.72,298,55473
燕莎后,98.92,740,74808
东一时区,85.74,369,43038
美然动力A2区,47.64,240,50378
双花园西里,70.44,532,75526
珠江绿洲,118.61,568,47889
西坝河东里,64.38,456,70830
旭辉奥都,69.82,240,34375
芍药居北里,74.1,722,97436
北纬40度一期,79.38,615,77476
富力阳光美园,88.48,498,56284
北京新天地三期,93.56,555,59321
润泽悦溪,84.61,685,80960
万科金阳,49.07,490,99858
北苑家园莲葩园,99.51,519,52156
金隅康惠园1号院,88.13,395,44821
八里庄北里小区,63,355,56350
北苑家园望春园,90.35,635,70283
润民柳芳居,107.88,850,78792
小关北里,78.73,598,75956
东领鉴筑,98.32,460,46787
北纬40度二期,102.35,850,83049
静安东里,56.34,305,54136
世安家园,108.04,625,57849
八里庄西里,73.68,399,54154
阳光100,171.9,999,58116
花家地小区,55.59,369,66379
宝星国际二期,62.69,450,71782
10AM新坐标,45.44,270,59420
尚家楼48号院,88.04,737,83712
华威西里,56.2,298,53025
安翔里小区,75.57,635,84029
北京青年城,110.71,638,57629
枣营北里,68.14,526,77195
朝阳新城五区,85.79,439,51172
磨房北里,59.03,350,59292
艺水芳园,79.68,398,49950
翠成馨园B区,124.09,539,43437
康家园,61.86,415,67087
汇景苑三区,87.31,500,57268
炫特嘉园三期,84.74,565,66675
芍药居北里,86.28,730,84609
兴隆家园,103.71,699,67400
汇景苑三区,86.87,420,48349
爱这城三期,89.79,660,73505
康家园,49.56,275,55489
北苑家园望春园,134.8,796,59051
朝丰家园8号院,73.69,329,44647
柳芳南里,56.51,450,79632
垡头西里,57.15,205,35871
观湖国际,202.75,2050,101110
弘善家园,83.93,535,63744
安慧北里逸园,124.62,930,74627
卧龙小区,101.82,1150,112945
慧忠里B区,97.57,900,92242
首开常青藤三期,91,715,78572
万象新天一区,179.96,1299,72183
凤凰城三期,132.86,1660,124944
阳光上东,171.16,1450,84717
康城别墅二期,223.01,850,38115
南十里居,90.7,535,58986
欧陆经典,150.4,1055,70147
富力又一城A区,162.83,728,44710
瑞福楼,195.99,1160,59187
裘马都,222.75,2600,116723
福怡苑,63.23,346,54721
双合家园,86.57,350,40430
松榆东里,60.48,325,53737
沿海赛洛城一期,104.81,655,62495
和平街十四区,56.01,410,73202
华贸城,66.44,540,81277
望京花园西区,80.52,578,71784
远洋一方北润园,115.48,698,60444
南平里,62.21,238,38258
康家园,59.65,380,63705
北京新天地三期,74.18,423,57024
望京西园一区,66.68,440,65987
雅成一里,67.6,498,73669
广渠门外大街,60.17,385,63986
和乔丽致公寓,61.44,560,91146
弘善家园,82.14,375,45654
