title,area_value,total_price,unit_price
南礼士路46号院 3室2厅 南 北,146.05,2350,160904
椿树馆 南北通透两居 房改房  96年,62.77,650,103553
西四 低楼层 南北通透一居室 满五年 适合贷款 诚心卖,53,768,144906
西直门南大街东区 看房方便 有电梯 没有遮挡,77.6,1047,134923
核桃园田字格三居室，满五唯一 交通便利,75.24,730,97023
广安门外大街 东南朝向，双卧向阳，餐客分离,69,760,110145
大拐棒胡同4号楼精装修的三居室,70.2,1160,165243
满五1手业主 无遮挡 业主诚意出售,85.9,1060,123400
西城区 中华家园 人车分流 产权车位 全明格局南北通透,244.55,2300,94051
外文局家属院 环境优美 南北通透,107.9,1381,127989
过五年无二套 好楼位好楼层好采光 随时签约随时看房,64.05,725,113193
2000年  西城教委  低楼层 满五唯一只有契税,95.1,1588,166983
西便门外大街 南向二居室 看房方便 唯一住房,49.5,558,112728
大区总监主推房源新明胡同电梯三居室观景漂亮停车方便,79.8,1080,135339
安定门安德路 花园里南北大三居 独院管理 楼道干净,151.59,2300,151726
源屋曲 3室2厅 南 北,144.54,1580,109313
精装修四居 南北通透 诚心卖 地段好 低密社区,100.7,1100,109236
宣武门 富卓花园 南北通透高层三居室 人车分流近地铁,153.5,2550,166124
西城区 7号线广安门内 白广路南北通透正规2居靠谱出售,59.21,619,104544
车站西街15号院  16号线地铁 南向中间层,39.18,410,104646
展览路单独管理的院 停车方便 视野好,67.6,615,90977
16号线红莲南路站300米 3层 满五唯一 95年正规两居,60.13,468,77832
新街口七条15号院 近地铁 小两居,48.1,570,118504
真武庙六里 2室1厅 南 北,70.7,915,129421
官园 新街口 精装修两居 正规客厅 南北通透 满五唯一,62.4,798,127885
三里河二区A区 双卫三居室 满五唯一 精装修 看房方便,84.3,1510,179123
德外双旗杆东里新上南北通透三居室,59.4,850,143098
广安苑一期 满五唯一单位分房 低楼层 好小区,34.26,435,126971
西城区 南北通透 满五年 低楼层 临地铁和莲花池公园,57.74,498,86249
乐城满五年唯一商品房三居室，西南向，高楼层,105.81,960,90729
鼓楼西大街 低楼层 全明格局户型方正 南北通透四居,83.7,1160,138591
壹甁   南边纵观陶然亭公园，户型方正四居室,188.27,3150,167313
二环内 中直机关大院 高楼层 南北大三居,110,1480,134546
贵都国际 1室1厅 东南,133.55,520,38937
西单 西绒线 满五年唯一住房，采光好 楼龄新 使用率高,139.94,1360,97185
月坛北街 老业主 满五唯一 可贷款 无占 有+建面积,60.9,899,147620
西二环 广安门外南街 带电梯 楼龄07年 满五年商品房,54.26,550,101364
白云桥天宁寺，正规一居低总 价，满五唯一，有钥匙。,44.56,410,92011
店长推荐好房南北通透两居室，满五年唯一，户型方正,51,550,107844
地铁2号线 中间楼层 南北朝向 楼龄：1996年 可贷款,74,986,133244
西城区右安门内白纸坊西街，电梯直达三居室带地下车位,97.87,799,81639
满五年唯一，精装修，无遮挡，带电梯，,46.5,760,163441
佟麟阁路62号院 1室1厅 东南 西,49.7,880,177063
月坛北街南北2居，精装中间楼层,53.3,726,136211
马连道西里 东西两居室 精装修 自住,54.23,488,89988
鸭子桥北里 西北一居 98年钢混 诚心出售,49.52,429,86632
19年精装修楼层好采光足业主靠谱出售,54.45,560,102847
政泰家园 西城区 2004年小区 落地窗,75.8,520,68602
铁二区带电梯精装南向一居 满五年 明厨明卫 高楼层,38.9,680,174808
官园公寓 二环内 高品质 商品房 户型合理 不爬楼,192.4,2480,128899
小红庙 2室1厅 南 北,51.41,508,98814
西城区 南北通透两居 明厨明卫 近地铁,54.71,529,96692
小红庙 中楼层 南北通透 田字格三居室  满五唯一,68.64,686,99942
优质！月坛三里河东路7号院，中间层,63.3,769,121485
右安门内 南北通透 中间层 小区环境好 满五年,62.1,666,107247
新安北里 南北通透 明厨明卫 小区管理好 停车方便,61.32,625,101925
物资部大院 南北通透 精装 两居室,61.1,860,140753
西城区六铺炕一区全南向的小两居诚售,42,720,171429
满五年唯一 中楼层 精装修  南向一居 无遮挡,39.3,630,160306
西城马连道常青藤嘉园精装一居室高楼层视野好,54.34,570,104896
西直门外大街国家京剧院宿舍南北通透精装修一居室,40.7,470,115480
月坛西街东里22号院 2室1厅 东 西,54.1,780,144178
南礼士路二条2号院精装修一居 房龄新带车位,82.52,979,118638
格调小区 2室1厅 南 北,102.93,1180,114642
车公庄北里 格局好，楼层好，视野开阔。,54.2,645,119004
长椿街 康乐里 东向正规两居精装修满五年唯一诚意出售,76.4,1098,143718
广安门三居室，满五年唯一。临近双地铁，楼层好,60.63,615,101435
满五年有电梯精装修房子南北通透明厨户型好,39.1,650,166241
南北通透大客厅，楼层好，视野棒，直观公园，满五唯一,60,899,149834
安德馨居 南北双通透  双阳台 朝南半落地窗 采光好,75.35,1106,146782
陶然亭 黑窑厂西里 南北两居 加固面积 无遮挡,49.43,692,139996
木樨地   铁一区  正规三居室  24平米客厅  精装修,65.7,786,119635
陶然亭畅柳园   南北通透两居室 满五年 产权清晰,57.32,630,109910
德外马甸裕中西里 明厨明卫三居室 高层视野好,89.3,1230,137738
西南二环   鸭子桥路41号院  南北两居室,78.55,737,93826
总监推荐 马甸南北三居把边 格局好 居住舒适温馨,73.6,958,130164
广安门南向两居，采光无遮挡，7/16双线地铁无噪音影响,72.76,749,102942
品质社区 满五唯一 双地铁 正规2居 户型方正，光线好,74.16,1030,138889
车站西街 南北通透 满五唯一 近地铁,57,558,97895
黄寺大街24号院，中间楼层，满五唯一，5年的精装修,60,799,133167
中间楼层，南北通透，大窗采光厨卫全明，可停车,47.3,755,159620
新康街甲一号  满五唯一商品房 带车位 看房方便,94.95,1100,115851
月坛公园旁 低楼层  产权清晰 有小区环境,112.6,1380,122558
闹中取静 正规三室一客厅 采光好 满五年唯一住房,79.8,1020,127820
广外南街50号院 西南三居 诚心出售 央产房,116.04,1150,99104
玉桃园二区 楼龄新 采光视野好,60,690,115000
二环内 三线地铁环绕 商品房三居,119.99,1020,85008
中铁六局央产房，电梯直达，满五年唯一，精装修,100.7,975,96823
新安中里 2004年板楼 南北通透 一梯两户 高层采光好,117.13,1310,111842
冠英园西区 电梯三居 南北采光好，中高楼层,141.1,2050,145288
新风街甲1号 优质南北大三居 不临街近地铁 满五唯一,128.3,1950,151988
金融街通透优质三居 落地飘窗 大客厅3个阳台 随时看房,109.78,1910,173985
英嘉花园 南向三居室 临近地铁 商品房小区 诚意出售,183.66,2000,108897
玉桃园二区  央产院   大两居   南北通透,96.1,1250,130073
盛景嘉园，中轴线旁，二环内，低密度板楼洋房,161.19,2300,142689
西豪逸景精装正规三居室诚心出售中,136.81,1330,97216
双地铁16+7号线 满五年唯一 精装修,135.97,1160,85313
莲花池东路甲5号院，优质一居室.,39.8,590,148242
此房为满五年央产房，精装修朝南，无遮挡，电梯直达,42.72,700,163858
庄胜二期 东北两居  无遮挡  户型正气  满五年,82.13,1299,158164
右安门内 此房满五年，购房成本低，电梯直达、3居室,77.75,730,93891
店长推荐：新外大街甲8号院   满五年商品房  诚心出售,61.1,768,125696
二环内  白广路  6号院，钢铁设计院 满五唯一 央产房,61.76,535,86626
槐柏树街 3室1厅 东 西,76.18,699,91757
满五年一手房，楼层好，视野宽阔，采光充足，全明户型,51.7,708,136944
展览路双南两居室  电梯直达 看房有钥匙,64.9,789,121572
清芷园西南朝向两居室，精装修，满五唯一，随时看房,73.34,968,131989
展览路 双阳台 楼道贴瓷砖 少 有两居 看房方便,61.3,699,114030
万博苑 朝南两居 随时看房 业主诚心出售 店长推荐,87.37,925,105872
北礼士路小区 粮科院宿舍 正规三居室 中间楼层有电梯,77.7,898,115573
新华社家属楼  环境幽美  方便停车设施完善,75.7,1230,162484
双旗杆精装小3居，看房方便，北京出版社家属楼,58,793,136725
核桃园广安门内婚房步梯南北大两居,56.83,499,87806
西城 月坛  新上满五年 精装修双朝南两居室 诚售,72.5,1050,144828
阜成门南大街   月坛北桥  随时签约  有电梯,57,628,110176
总监推荐位置好安静装修好满五年,72.65,740,101859
格调小区 板楼正规一居室 安静不临街 正对小区花园,64.25,660,102724
北礼士路北区 全明格局两居室 安静不临街 净高2.9m,49,539,110000
右安门内大街 2室1厅 南,60.61,628,103614
三里河东路甲8号院南北通透精装房，诚心出售看房随时,88.7,1290,145435
陶然亭有电梯明厨明卫 挨着公园医院地铁7号线和8号线,55.12,554,100508
爱民里 低楼层 看房方便 随时签约 采光充足 价格可谈,57.8,836,144637
天宁寺西里 全明三居室，采光好,76.24,746,97849
西城区 两居室 楼层好 满五年 配套完善,49.78,465,93412
广安门 乐城 两居室 户型方正 商品房 近地铁16号线,92.61,766,82713
西城马甸三室两卫 有电梯楼龄新 停车方便 中直管理好,119.05,1799,151113
本房满二年，正规两居室带大客厅，电梯直达,62.5,780,124800
荣丰二期精装复式，看房方便，随时签约,26.43,415,157019
椿树园精装两居室 高楼层主卧室观花园 费用低,67.44,740,109728
政府展建13平，南北中间层大客厅，精装新风系统,50.4,808,160318
格调小区 2室1厅 南,100.87,1190,117974
馨莲茗园 东北向二居，高楼层没遮挡,81.16,820,101035
月坛西街，此房满五唯一，东西南朝向，楼层好，无遮挡,56.9,808,142004
牛街东里  东南把角户型 无浪费面积 诚意出售,74.09,728,98259
马甸南村带电梯 南北向 精装修两居 诚心出售了,65.9,838,127163
二环内  钢铁设计院  白广路6号院， 满五年   央产房,54.32,525,96650
西豪逸景，西南向，居家两居室，满五年唯一,76.56,736,96134
金融街 西城晶华 精装 正规两居,94.53,1589,168095
经典田字格三居户型 看房方便  不临街,65.53,646,98581
月坛南街小四道口 南北通透两居室 满五唯一,60.18,768,127618
二环内 东向两居 低楼层 满五年唯一  看房随时,50.08,499,99641
右安门内中国人民央产房，精装修南北通透小3居,56.85,568,99913
教场口街9号院2003年电梯房,73.88,888,120195
如意里 新街口 西直门精装修一居室,42.3,480,113476
德胜里一区，精装三居，可拎包入住，低楼层居住舒适,68.2,990,145162
红莲南里 田字格户型三居 双卧朝南采光充足满五年唯一,70.7,670,94767
后马厂胡同，全南两居，精装修，楼层佳,50.2,710,141435
政泰家园 2室1厅 东,102.65,709,69070
陶然亭白纸坊，中间楼层南北两居室,54.18,558,102991
产权清晰中间楼层诚意出售价格可谈,50.45,460,91180
