标题,行政区,板块,小区,面积,朝向,户型,租金
整租·方丹苑 2室1厅 东北,朝阳,潘家园,方丹苑,89.0,东北,2室1厅1卫,7700.0
整租·呼家楼新苑 2室1厅 南,朝阳,红庙,呼家楼新苑,55.89,南,2室1厅1卫,7190.0
整租·芳群园四区 1室1厅 南/北,丰台,方庄,芳群园四区,47.82,南北,1室1厅1卫,4700.0
整租·三羊里 1室0厅 南,大兴,亦庄,三羊里,55.0,南,1室0厅1卫,3500.0
整租·南庭新苑南区 1室1厅 西,丰台,新宫,南庭新苑南区,52.0,西,1室1厅1卫,4200.0
整租·管庄西里 2室1厅 南/北,朝阳,管庄,管庄西里,62.5,南北,2室1厅1卫,4900.0
整租·航城广场 2房间 跃层 东,顺义,顺义其它,航城广场,41.0,东,2房间1卫,3700.0
整租·定慧北里 2室1厅 南,海淀,定慧寺,定慧北里,60.9,南,2室1厅1卫,7000.0
整租·城乡世纪广场莫尔空间 3房间 复式 北,通州,通州其它,城乡世纪广场莫尔空间,53.71,北,3房间1卫,4500.0
整租·龙湖香醍溪岸南区 3室2厅 南/北,顺义,马坡,龙湖香醍溪岸南区,157.27,南北,3室2厅2卫,7500.0
整租·驼房营南里 2室1厅 东/西,朝阳,酒仙桥,驼房营南里,81.17,东西,2室1厅1卫,6200.0
整租·华远九都汇 3房间 西北,朝阳,燕莎,华远九都汇,130.43,西北,3房间1卫,15500.0
整租·林肯公园A区 3房间 北,亦庄开发区,亦庄,林肯公园A区,118.7,北,3房间2卫,9100.0
整租·乐想汇 1房间 南,朝阳,北苑,乐想汇,68.0,南,1房间1卫,5100.0
整租·富力惠兰美居 3室1厅 南/北,通州,潞苑,富力惠兰美居,90.8,南北,3室1厅1卫,4000.0
整租·中安盛业大厦 2室1厅 东北,朝阳,亚运村小营,中安盛业大厦,100.2,东北,2室1厅1卫,10600.0
整租·白云观 2室1厅 南,西城,木樨地,白云观,50.0,南,2室1厅1卫,6000.0
整租·和悦华锦 3室1厅 南/北,大兴,亦庄开发区其它,和悦华锦,89.0,南北,3室1厅1卫,5800.0
整租·旭辉御府 3室2厅 南/北,大兴,高米店,旭辉御府,243.76,南北,3室2厅3卫,14000.0
整租·和悦华锦 3室1厅 南/北,大兴,亦庄开发区其它,和悦华锦,89.0,南北,3室1厅1卫,5800.0
整租·航城广场 2房间 跃层 东,顺义,顺义其它,航城广场,41.0,东,2房间1卫,3700.0
整租·定慧北里 2室1厅 南,海淀,定慧寺,定慧北里,60.9,南,2室1厅1卫,7000.0
整租·保利中央公园 3室2厅 南/北,朝阳,望京,保利中央公园,117.14,南北,3室2厅2卫,26000.0
整租·MASTER领域 1室1厅 东北,朝阳,国展,MASTER领域,94.21,东北,1室1厅1卫,9600.0
整租·白云观 2室1厅 南,西城,木樨地,白云观,50.0,南,2室1厅1卫,6000.0
整租·IDCITY艾迪城 2房间 北,顺义,后沙峪,IDCITY艾迪城,45.0,北,2房间1卫,5500.0
整租·东亚五环国际 4房间 南,大兴,旧宫,东亚五环国际,110.0,南,4房间1卫,6600.0
整租·新翠景园 2室1厅 南/北,通州,九棵树(家乐福),新翠景园,93.0,南北,2室1厅1卫,3500.0
整租·久润花园东区 3室2厅 南/北,密云,鼓楼街道,久润花园东区,117.24,南北,3室2厅1卫,1800.0
整租·常楹公元自由派 1房间 北,朝阳,常营,常楹公元自由派,37.0,北,1房间1卫,4500.0
整租·乐想汇 1房间 南,朝阳,北苑,乐想汇,68.0,南,1房间1卫,5100.0
整租·世纪东方城 3室2厅 南/北,朝阳,欢乐谷,世纪东方城,143.0,南北,3室2厅2卫,11000.0
整租·日月天地 3室1厅 东南,丰台,方庄,日月天地,213.0,东南,3室1厅1卫,15000.0
整租·瞰都国际 3室2厅 东南,朝阳,朝阳公园,瞰都国际,117.0,东南,3室2厅2卫,9900.0
整租·西长安壹号 2房间 北,门头沟,上岸地铁,西长安壹号,73.0,北,2房间1卫,4000.0
整租·瞰都国际 3室2厅 东南,朝阳,朝阳公园,瞰都国际,117.0,东南,3室2厅2卫,9900.0
整租·上地国际创业园 5房间 南,海淀,上地,上地国际创业园,167.96,南,5房间2卫,12500.0
整租·公园1872国际公寓 1室1厅 北,朝阳,石佛营,公园1872国际公寓,93.82,北,1室1厅1卫,14000.0
