标题,行政区,板块,小区,面积,朝向,户型,租金
整租·敏捷动漫国际 5室2厅 北,番禺,汉溪长隆,敏捷动漫国际,102.0,北,5室2厅1卫,4800.0
合租·珠岛花园 4居室 北卧,荔湾,大坦沙,珠岛花园,6.8,北,4室1厅1卫,1081.0
整租·万科金色梦想 3室2厅 北,黄埔,香雪,万科金色梦想,77.0,北,3室2厅1卫,2900.0
整租·侨源山庄 2室1厅 南,天河,粤垦,侨源山庄,78.0,南,2室1厅1卫,3700.0
合租·美好居 3居室 东卧,天河,车陂,美好居,10.2,东,3室1厅1卫,1711.0
整租·广州绿地城 2室2厅 东,黄埔,知识城,广州绿地城,42.0,东,2室2厅1卫,2100.0
合租·泊雅湾 4居室 北卧,海珠,滨江东,泊雅湾,12.2,北,4室1厅1卫,2446.0
整租·豪进山湖珺璟 3室2厅 东南/南,增城,白江,豪进山湖珺璟,121.0,东南南,3室2厅2卫,2800.0
整租·大塱罗北花园 3室2厅 西南,黄埔,科学城,大塱罗北花园,120.0,西南,3室2厅2卫,4500.0
整租·崇和花园 3室2厅 南,增城,永宁,崇和花园,87.0,南,3室2厅1卫,1500.0
整租·南沙万地雅涛阁 3室2厅 东/北,南沙,万顷沙,南沙万地雅涛阁,109.0,东北,3室2厅2卫,2800.0
整租·金碧世纪花园 3室2厅 南,黄埔,大沙地,金碧世纪花园,158.0,南,3室2厅2卫,5500.0
整租·锦尚蓬莱苑 3室2厅 北,花都,新区,锦尚蓬莱苑,93.0,北,3室2厅1卫,3300.0
整租·中建·映花悦府 2室1厅 南,花都,铁路西,中建·映花悦府,62.31,南,2室1厅1卫,1700.0
整租·时代天韵（黄埔） 3室2厅 南,黄埔,香雪,时代天韵（黄埔）,81.0,南,3室2厅1卫,3300.0
整租·丽海雅居 3室1厅 东北,海珠,滨江中,丽海雅居,135.0,东北,3室1厅1卫,7500.0
整租·润粤大厦 3室1厅 南,越秀,水荫,润粤大厦,94.0,南,3室1厅1卫,7700.0
整租·佳润临江上品 1室1厅 北,天河,员村,佳润临江上品,70.0,北,1室1厅1卫,6000.0
合租·恒福路 3居室 南卧,越秀,淘金,恒福路,25.0,南,3室3厅3卫,2000.0
整租·广纸路 2室1厅 东南,海珠,工业大道中,广纸路,82.0,东南,2室1厅1卫,3200.0
整租·碧桂园天玺湾 6室3厅 南/北,南沙,进港大道,碧桂园天玺湾,450.0,南北,6室3厅5卫,8000.0
整租·祈福新村月明轩 3室2厅 北,番禺,祈福新村,祈福新村月明轩,92.8,北,3室2厅1卫,4000.0
整租·羊城创意产业园（东园区） 4室2厅 南,增城,永宁,羊城创意产业园（东园区）,57.0,南,4室2厅2卫,2100.0
整租·恒展江山时代花园 2室2厅 南,增城,朱村,恒展江山时代花园,80.0,南,2室2厅1卫,1900.0
整租·恒大阳光半岛 3室1厅 东南,南沙,万顷沙,恒大阳光半岛,98.0,东南,3室1厅2卫,2800.0
整租·龙光棕榈水岸北区 3室2厅 北,南沙,南沙区府,龙光棕榈水岸北区,107.69,北,3室2厅2卫,2800.0
整租·天誉花园 3室2厅 北,天河,林和,天誉花园,112.0,北,3室2厅2卫,7600.0
整租·新城国际 2室1厅 东南,海珠,金碧,新城国际,45.0,东南,2室1厅1卫,4000.0
整租·领南星河荣誉 3室2厅 南,南沙,南沙港,领南星河荣誉,101.0,南,3室2厅2卫,1800.0
整租·越秀滨海御城 3室2厅 南,南沙,金洲,越秀滨海御城,108.0,南,3室2厅2卫,3200.0
