标题,行政区,板块,小区,面积,朝向,户型,租金
整租·新利珑庭 1室1厅 东,高新区,塘山广场,新利珑庭,36.0,东,1室1厅1卫,1500.0
整租·南昌旭辉中心 4室2厅 南,经开区,紫荆路,南昌旭辉中心,147.0,南,4室2厅2卫,2400.0
整租·世纪中央城一期 1室1厅 南,红谷滩,秋水广场,世纪中央城一期,25.61,南,1室1厅1卫,1400.0
整租·凤凰城凤翔苑 2室2厅 南/北,红谷滩,凤凰洲,凤凰城凤翔苑,94.96,南北,2室2厅1卫,2500.0
整租·锦绣天地青年城 1室1厅 南/北,南昌县,昌南,锦绣天地青年城,48.0,南北,1室1厅1卫,1000.0
整租·梅湖香榭丽 3室2厅 南,青云谱区,江铃,梅湖香榭丽,110.32,南,3室2厅2卫,2300.0
整租·伟梦清水湾 4室2厅 南,南昌县,象湖,伟梦清水湾,145.0,南,4室2厅2卫,1400.0
整租·戴家巷社区 2室1厅 南,东湖区,叠山路,戴家巷社区,64.0,南,2室1厅1卫,1600.0
整租·新力公园壹号 1室1厅 南,高新区,瑶湖东,新力公园壹号,50.0,南,1室1厅1卫,1300.0
整租·力高国际城三期 2室2厅 南,南昌县,象湖,力高国际城三期,75.0,南,2室2厅1卫,1400.0
整租·绿地香颂南区 4室2厅 南,红谷滩,岭口路,绿地香颂南区,149.79,南,4室2厅2卫,15000.0
整租·正荣棠悦 3室2厅 南,高新区,艾溪湖东,正荣棠悦,96.0,南,3室2厅2卫,2600.0
整租·象湖公寓 2室2厅 南,青云谱区,江铃,象湖公寓,73.0,南,2室2厅1卫,1100.0
整租·绿地中央公园江悦 3室2厅 南,新建区,红湾大道以南,绿地中央公园江悦,120.0,南,3室2厅1卫,3000.0
整租·天御国际 1室1厅 南,青山湖区,塘山广场,天御国际,37.0,南,1室1厅1卫,1300.0
整租·北京西路师大宿舍 3室2厅 南/北,东湖区,文教路,北京西路师大宿舍,115.0,南北,3室2厅1卫,2800.0
整租·东城一品 1室1厅 南,青山湖区,,东城一品,37.0,南,1室1厅1卫,1100.0
整租·象湖威尼斯 4室2厅 南/北,青云谱区,江铃,象湖威尼斯,160.0,南北,4室2厅2卫,2000.0
整租·北京西路师大宿舍 2室1厅 南,东湖区,文教路,北京西路师大宿舍,66.33,南,2室1厅1卫,2300.0
整租·梅湖香榭丽 3室2厅 南,青云谱区,江铃,梅湖香榭丽,110.32,南,3室2厅2卫,2300.0
整租·伟梦清水湾 4室2厅 南,南昌县,象湖,伟梦清水湾,145.0,南,4室2厅2卫,1400.0
整租·戴家巷社区 2室1厅 南,东湖区,叠山路,戴家巷社区,64.0,南,2室1厅1卫,1600.0
整租·新力公园壹号 1室1厅 南,高新区,瑶湖东,新力公园壹号,50.0,南,1室1厅1卫,1300.0
整租·玺园南区 4室2厅 南/北,南昌县,莲塘,玺园南区,150.0,南北,4室2厅2卫,2400.0
整租·中国铁建青秀城 3室2厅 南,经开区,蛟桥,中国铁建青秀城,100.0,南,3室2厅1卫,2200.0
整租·绿地中央公园江悦 3室2厅 南,新建区,红湾大道以南,绿地中央公园江悦,138.0,南,3室2厅2卫,4000.0
整租·锦尚天域 1室1厅 南/北,南昌县,象湖,锦尚天域,32.53,南北,1室1厅1卫,1200.0
整租·力高国际城三期 2室2厅 南,南昌县,象湖,力高国际城三期,75.0,南,2室2厅1卫,1400.0
整租·翰园小区 3室2厅 南/北,高新区,太子殿,翰园小区,149.0,南北,3室2厅2卫,2400.0
整租·绿地香颂南区 4室2厅 南,红谷滩,岭口路,绿地香颂南区,149.79,南,4室2厅2卫,15000.0
整租·新力龙湾四期 3室2厅 南,新建区,工学院,新力龙湾四期,89.0,南,3室2厅1卫,1300.0
整租·正荣棠悦 3室2厅 南,高新区,艾溪湖东,正荣棠悦,96.0,南,3室2厅2卫,2600.0
整租·东城一品 1室1厅 南,青山湖区,,东城一品,37.0,南,1室1厅1卫,1100.0
整租·万科玖里 3室2厅 南,经开区,庐山南大道,万科玖里,99.0,南,3室2厅2卫,2600.0
整租·滨江豪园 3室2厅 南/北,红谷滩,秋水广场,滨江豪园,155.18,南北,3室2厅2卫,3200.0
