标题,行政区,板块,小区,面积,朝向,户型,租金
整租·经纬弘汇地标家园 2室2厅 南/北,宝山,上大,经纬弘汇地标家园,106.19,南北,2室2厅1卫,5800.0
整租·徐汇苑 2室1厅 南,徐汇,龙华,徐汇苑,135.0,南,2室1厅1卫,15190.0
整租·浦发壹滨江 1室2厅 南,浦东,洋泾,浦发壹滨江,75.32,南,1室2厅1卫,12420.0
整租·金海华城鸿明佳苑 2室1厅 南,浦东,曹路,金海华城鸿明佳苑,76.0,南,2室1厅1卫,5300.0
整租·建发云锦湾 3室2厅 东南,宝山,罗店,建发云锦湾,88.0,东南,3室2厅1卫,5000.0
整租·浦开仁恒金桥世纪二期 3室2厅 南,浦东,高行,浦开仁恒金桥世纪二期,100.0,南,3室2厅2卫,9200.0
整租·杨桥第一小区 1室1厅 南,普陀,桃浦,杨桥第一小区,46.51,南,1室1厅1卫,4500.0
整租·双辽支路70弄 2室0厅 南,杨浦,鞍山,双辽支路70弄,35.99,南,2室0厅1卫,5500.0
整租·和源馨苑 1室1厅 南,静安,西藏北路,和源馨苑,67.0,南,1室1厅1卫,7200.0
整租·圣骊河滨苑 2室1厅 南,杨浦,东外滩,圣骊河滨苑,83.31,南,2室1厅1卫,9500.0
整租·滨江大楼 1室1厅 南,浦东,陆家嘴,滨江大楼,42.33,南,1室1厅1卫,5300.0
整租·碧桂园嘉誉 3室2厅 南,嘉定,徐行,碧桂园嘉誉,89.07,南,3室2厅1卫,3000.0
整租·联美品悦 3室2厅 南,青浦,赵巷,联美品悦,91.13,南,3室2厅1卫,5000.0
整租·明天华城 2室2厅 南/北,浦东,周浦,明天华城,90.0,南北,2室2厅1卫,6500.0
整租·虹桥博雅苑 2室2厅 南,闵行,华漕,虹桥博雅苑,86.0,南,2室2厅1卫,4800.0
整租·中环一号二期（琉樽尚品） 1室1厅 南,宝山,大华,中环一号二期（琉樽尚品）,75.87,南,1室1厅1卫,6800.0
整租·密云小区 1室1厅 南,杨浦,鞍山,密云小区,45.07,南,1室1厅1卫,4400.0
整租·君莲闵都雅苑 1室1厅 南/西/北,闵行,颛桥,君莲闵都雅苑,60.0,南西北,1室1厅1卫,4800.0
整租·虹桥博雅苑 2室2厅 南,闵行,华漕,虹桥博雅苑,86.0,南,2室2厅1卫,4800.0
整租·中环一号五期（欧泊花郡）  2室2厅 南,宝山,大华,中环一号五期（欧泊花郡）,70.71,南,2室2厅1卫,6200.0
整租·陕西北路342弄 2室0厅 南,静安,南京西路,陕西北路342弄,23.6,南,2室0厅1卫,5800.0
整租·东原印柒雅 3室2厅 南,浦东,周浦,东原印柒雅,148.76,南,3室2厅2卫,19000.0
整租·逸亭佳苑 3室2厅 南/北,浦东,周浦,逸亭佳苑,126.84,南北,3室2厅1卫,6500.0
整租·绿地领海(商业类) 2室1厅 南,宝山,上大,绿地领海(商业类),60.17,南,2室1厅1卫,3200.0
整租·美瑞清河湾 2室1厅 南,青浦,香花桥,美瑞清河湾,41.36,南,2室1厅1卫,3500.0
整租·爱中爱华公寓 3室2厅 南/北,徐汇,万体馆,爱中爱华公寓,132.69,南北,3室2厅2卫,13000.0
