标题,行政区,板块,小区,面积,朝向,户型,租金
整租·皇庭世纪 2室1厅 北,福田区,石厦,皇庭世纪,58.0,北,2室1厅1卫,6900.0
整租·中电大院 3室2厅 南/北,福田区,华强南,中电大院,90.0,南北,3室2厅1卫,8000.0
整租·嘉汇新城 2室1厅 西北,福田区,华强南,嘉汇新城,59.0,西北,2室1厅1卫,5200.0
合租·熙龙湾二期 5居室 西北卧,宝安区,宝安中心,熙龙湾二期,8.2,西北,5室1厅1卫,2090.0
整租·THETOWN乐城 2室1厅 西南,龙岗区,大运新城,THETOWN乐城,52.0,西南,2室1厅1卫,3200.0
整租·佳兆业山海城家园一期 3室1厅 东南,盐田区,盐田港,佳兆业山海城家园一期,83.0,东南,3室1厅1卫,5000.0
整租·龙光玖悦台 4室2厅 南/北,龙华区,红山,龙光玖悦台,114.0,南北,4室2厅2卫,11000.0
整租·世纪假日广场 2室2厅 西南/西,南山区,华侨城,世纪假日广场,81.67,西南西,2室2厅1卫,7200.0
整租·深蓝公寓 2室2厅 南,南山区,后海,深蓝公寓,61.0,南,2室2厅1卫,7100.0
整租·石厦花园 3室2厅 西北,福田区,石厦,石厦花园,90.0,西北,3室2厅1卫,8800.0
整租·英郡年华花园一期 3室2厅 西南,龙岗区,丹竹头,英郡年华花园一期,87.69,西南,3室2厅1卫,4800.0
整租·洪湖一街一号大院 3室2厅 东南,罗湖区,洪湖,洪湖一街一号大院,78.0,东南,3室2厅1卫,4500.0
整租·马家龙方卉园 2室1厅 南,南山区,南头,马家龙方卉园,41.0,南,2室1厅1卫,5000.0
整租·半山御景 3室2厅 东南,福田区,梅林,半山御景,86.0,东南,3室2厅1卫,7000.0
整租·东方半岛花园A区 2室2厅 南/北,龙岗区,布吉大芬,东方半岛花园A区,75.0,南北,2室2厅1卫,3600.0
整租·洪湖花园 2室2厅 东,罗湖区,洪湖,洪湖花园,83.36,东,2室2厅1卫,5500.0
整租·佳兆业中心 1室0厅 东,福田区,上步,佳兆业中心,40.0,东,1室0厅1卫,3800.0
整租·领航城领尚花园 1室1厅 南,宝安区,西乡,领航城领尚花园,51.68,南,1室1厅1卫,4500.0
整租·东方海雅居 3室2厅 东南,南山区,南山中心,东方海雅居,95.0,东南,3室2厅2卫,9500.0
整租·佳嘉豪苑 3室2厅 南,南山区,南山中心,佳嘉豪苑,93.0,南,3室2厅2卫,9600.0
整租·旭源怡景轩 3室2厅 南,龙岗区,龙岗双龙,旭源怡景轩,87.0,南,3室2厅2卫,4000.0
整租·琳珠华庭 3室2厅 东南,龙岗区,龙岗中心城,琳珠华庭,80.0,东南,3室2厅2卫,4500.0
整租·南粤明珠海洋之心 2室1厅 北,南山区,后海,南粤明珠海洋之心,62.19,北,2室1厅1卫,6800.0
整租·阅山华府 4室2厅 南/北,龙岗区,龙岗中心城,阅山华府,156.0,南北,4室2厅2卫,7800.0
整租·雕塑家园 4室2厅 东南,福田区,梅林,雕塑家园,152.09,东南,4室2厅1卫,9800.0
整租·万科公园里二期 3室2厅 西南,龙岗区,布吉南岭,万科公园里二期,89.0,西南,3室2厅1卫,5200.0
整租·麟腾苑 2室1厅 南,罗湖区,布心,麟腾苑,57.29,南,2室1厅1卫,4000.0
整租·地王大厦信兴广场 2室2厅 北,罗湖区,地王,地王大厦信兴广场,154.4,北,2室2厅1卫,18000.0
整租·万科东方尊峪 2室2厅 南,罗湖区,莲塘,万科东方尊峪,85.26,南,2室2厅1卫,6000.0
整租·金地•峰境瑞府 4室2厅 东南,光明区,光明,金地•峰境瑞府,118.0,东南,4室2厅2卫,6000.0
整租·金地名峰 4室2厅 南,龙岗区,龙岗宝荷,金地名峰,89.0,南,4室2厅2卫,3700.0
整租·唐商前海双悦 3室2厅 东南,宝安区,沙井,唐商前海双悦,94.44,东南,3室2厅1卫,5200.0
南方国际广场 2室1厅 东南,福田区,石厦,南方国际广场,65.0,东南,2室1厅1卫,9800.0
整租·艺丰花园A区 3室2厅 南,福田区,梅林,艺丰花园A区,108.0,南,3室2厅2卫,6800.0
整租·阳光棕榈园一期 3室2厅 南,南山区,前海,阳光棕榈园一期,101.55,南,3室2厅1卫,10000.0
合租·半岛花园A区 4居室 东南卧,南山区,蛇口,半岛花园A区,7.2,东南,4室1厅1卫,1690.0
南方国际广场 2室1厅 东南,福田区,石厦,南方国际广场,65.0,东南,2室1厅1卫,9800.0
合租·城市山林 5居室 南卧,南山区,南山中心,城市山林,16.0,南,5室1厅2卫,2600.0
整租·唐商前海双悦 3室2厅 东南,宝安区,沙井,唐商前海双悦,94.44,东南,3室2厅1卫,5200.0
整租·嘉霖微商大楼 2室1厅 西,龙华区,观澜,嘉霖微商大楼,45.0,西,2室1厅1卫,4200.0
整租·阳光棕榈园一期 3室2厅 南,南山区,前海,阳光棕榈园一期,101.55,南,3室2厅1卫,10000.0
合租·熙龙湾二期 5居室 西北卧,宝安区,宝安中心,熙龙湾二期,8.2,西北,5室1厅1卫,2090.0
整租·雅庭名苑 4室2厅 西南,龙岗区,龙岗中心城,雅庭名苑,150.0,西南,4室2厅2卫,5000.0
合租·金地名郡园 4居室 北卧,龙岗区,龙岗中心城,金地名郡园,7.0,北,4室1厅1卫,1060.0
整租·金桃园大厦 3室2厅 南,南山区,南头,金桃园大厦,103.0,南,3室2厅2卫,9500.0
合租·金泓凯旋城一期 4居室 东卧,宝安区,宝安中心,金泓凯旋城一期,10.1,东,4室1厅1卫,2090.0
整租·万科时代广场 2室2厅 东北,龙岗区,龙岗中心城,万科时代广场,69.19,东北,2室2厅1卫,3800.0
合租·阳光棕榈园一期 4居室 南卧,南山区,前海,阳光棕榈园一期,8.56,南,4室1厅1卫,2130.0
整租·新海大厦 1室1厅 东,南山区,南头,新海大厦,159.86,东,1室1厅1卫,11000.0
整租·旭源瑞景轩 4室2厅 东南,龙岗区,龙岗双龙,旭源瑞景轩,88.0,东南,4室2厅2卫,3900.0
整租·和亨中心广场 2室1厅 东南,盐田区,盐田港,和亨中心广场,64.0,东南,2室1厅1卫,3300.0
合租·绿海名都 3居室 北卧,南山区,前海,绿海名都,7.03,北,3室1厅1卫,1990.0
整租·昊海君悦 1室0厅 南,盐田区,沙头角,昊海君悦,37.85,南,1室0厅1卫,3000.0
整租·西岸观邸 4室2厅 南,宝安区,宝安中心,西岸观邸,93.59,南,4室2厅1卫,9000.0
整租·莲花北 2室2厅 南,福田区,莲花,莲花北,76.0,南,2室2厅1卫,6300.0
合租·春华四季园一期 4居室 南卧,龙岗区,坂田,春华四季园一期,12.9,南,4室1厅1卫,1730.0
整租·碧桂园凤凰国际智谷 2室1厅 西南,宝安区,西乡,碧桂园凤凰国际智谷,37.0,西南,2室1厅1卫,3700.0
合租·万象新天 5居室 东卧,宝安区,西乡,万象新天,8.6,东,5室1厅2卫,1690.0
整租·大中华国际金融中心 3室2厅 东南,福田区,福田中心,大中华国际金融中心,130.0,东南,3室2厅1卫,13000.0
合租·红荔村 4居室 北卧,福田区,华强北,红荔村,10.0,北,4室1厅1卫,2060.0
整租·天健悦桂府 3室2厅 南,南山区,前海,天健悦桂府,118.0,南,3室2厅2卫,17500.0
整租·德意名居一期 4室2厅 东南,南山区,大学城,德意名居一期,130.0,东南,4室2厅2卫,12000.0
整租·港岛银座 2室1厅 东,罗湖区,地王,港岛银座,63.79,东,2室1厅1卫,6000.0
整租·华晖云门 3室2厅 南,南山区,大学城,华晖云门,89.0,南,3室2厅2卫,10500.0
整租·彩田村 4室2厅 南,福田区,莲花,彩田村,120.0,南,4室2厅2卫,10500.0
整租·璟悦轩小巨蛋 3室1厅 西南,光明区,公明,璟悦轩小巨蛋,38.0,西南,3室1厅1卫,3000.0
整租·天健悦桂府 3室2厅 南,南山区,前海,天健悦桂府,119.0,南,3室2厅2卫,13500.0
